#EXPORTTYPE:DATA SINGLE
#FILE:2023-12-25_PB2_Astr_0.05%_liquid_v3_25-215_10Kmin_100mlmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:PB2_Astr_0.05%_liquid_v2
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:25.12.2023 14:32
#CORR. FILE:
#TEMPCAL:17-12-2021 14:14
#SENSITIVITY:17-12-2021 14:01
#LABORATORY:
#OPERATOR:SitnikovaV
#REMARK:
#SAMPLE:PB2_Astr_0.05%_liquid_v2
#SAMPLE MASS /mg:22,252
#MATERIAL:
#REFERENCE:ÏÂÑ ïîðîøîê
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:NITROGEN,250,0 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:25°C/10.0(K/min)/215°C
#SEGMENT:S1/1
#SEG. 1:25°C/10.0(K/min)/215°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
 24.93667; 0.00000;-7.010710e-03;3.44733
 25.93667; 0.22676; 9.681554e-02;3.44786
 26.93667; 0.33695;      0.21303;3.44837
 27.93667; 0.43268;      0.29556;3.44885
 28.93667; 0.52375;      0.35227;3.44930
 29.93667; 0.61309;      0.39097;3.44973
 30.93667; 0.70192;      0.41686;3.45013
 31.93667; 0.79084;      0.43366;3.45050
 32.93667; 0.88021;      0.44412;3.45085
 33.93667; 0.97026;      0.45053;3.45116
 34.93667; 1.06116;      0.45409;3.45146
 35.93667; 1.15301;      0.45581;3.45172
 36.93667; 1.24582;      0.45635;3.45196
 37.93667; 1.33958;      0.45648;3.45217
 38.93667; 1.43426;      0.45620;3.45235
 39.93667; 1.52977;      0.45522;3.45251
 40.93667; 1.62601;      0.45442;3.45265
 41.93667; 1.72290;      0.45266;3.45275
 42.93667; 1.82035;      0.45160;3.45283
 43.93667; 1.91830;      0.45010;3.45288
 44.93667; 2.01662;      0.44879;3.45291
 45.93667; 2.11521;      0.44791;3.45291
 46.93667; 2.21403;      0.44725;3.45289
 47.93667; 2.31302;      0.44659;3.45284
 48.93667; 2.41214;      0.44621;3.45276
 49.93667; 2.51138;      0.44567;3.45266
 50.93667; 2.61066;      0.44567;3.45254
 51.93667; 2.70997;      0.44567;3.45238
 52.93667; 2.80928;      0.44610;3.45220
 53.93667; 2.90861;      0.44642;3.45200
