#EXPORTTYPE:DATA SINGLE
#FILE:2023-12-26_PB2_Astr_0.05%_liquid_v1_25-225_15Kmin_100mlmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:PB2_Astr_0.05%_liquid_v1
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:26.12.2023 10:30
#CORR. FILE:
#TEMPCAL:17-12-2021 14:14
#SENSITIVITY:17-12-2021 14:01
#LABORATORY:
#OPERATOR:SitnikovaV
#REMARK:
#SAMPLE:PB2_Astr_0.05%_liquid_v1
#SAMPLE MASS /mg:30,878
#MATERIAL:
#REFERENCE:ÏÂÑ ïîðîøîê
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:NITROGEN,250,0 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:25°C/15.0(K/min)/225°C
#SEGMENT:S1/1
#SEG. 1:25°C/15.0(K/min)/225°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
 25.25731; 0.00000;-2.202238e-03;3.44750
 26.25731; 0.19126; 9.115571e-02;3.44803
 27.25731; 0.27225;      0.20217;3.44853
 28.25731; 0.34090;      0.29816;3.44900
 29.25731; 0.40481;      0.37836;3.44944
 30.25731; 0.46646;      0.44365;3.44986
 31.25731; 0.52695;      0.49619;3.45025
 32.25731; 0.58686;      0.53783;3.45061
 33.25731; 0.64654;      0.57065;3.45095
 34.25731; 0.70615;      0.59632;3.45126
 35.25731; 0.76580;      0.61596;3.45154
 36.25731; 0.82563;      0.63097;3.45180
 37.25731; 0.88574;      0.64203;3.45203
 38.25731; 0.94617;      0.64987;3.45223
 39.25731; 1.00697;      0.65542;3.45241
 40.25731; 1.06816;      0.65879;3.45256
 41.25731; 1.12976;      0.66060;3.45268
 42.25731; 1.19177;      0.66121;3.45278
 43.25731; 1.25421;      0.66103;3.45285
 44.25731; 1.31706;      0.65974;3.45290
 45.25731; 1.38029;      0.65841;3.45292
 46.25731; 1.44390;      0.65663;3.45291
 47.25731; 1.50787;      0.65451;3.45288
 48.25731; 1.57219;      0.65240;3.45282
 49.25731; 1.63681;      0.65021;3.45273
 50.25731; 1.70171;      0.64812;3.45262
 51.25731; 1.76685;      0.64631;3.45249
 52.25731; 1.83219;      0.64462;3.45233
 53.25731; 1.89772;      0.64305;3.45214
 54.25731; 1.96343;      0.64168;3.45193
 55.25731; 2.02929;      0.64053;3.45169
 56.25731; 2.09529;      0.63932;3.45143
 57.25731; 2.16141;      0.63856;3.45114
 58.25731; 2.22761;      0.63797;3.45083
 59.25731; 2.29387;      0.63741;3.45049
 60.25731; 2.36016;      0.63716;3.45013
 61.25731; 2.42648;      0.63710;3.44975
 62.25731; 2.49283;      0.63716;3.44933
 63.25731; 2.55921;      0.63729;3.44890
 64.25731; 2.62561;      0.63761;3.44844
 65.25731; 2.69205;      0.63791;3.44795
 66.25731; 2.75852;      0.63824;3.44744
 67.25731; 2.82500;      0.63863;3.44691
 68.25731; 2.89147;      0.63922;3.44635
 69.25731; 2.95791;      0.63969;3.44577
 70.25731; 3.02432;      0.64045;3.44516
 71.25731; 3.09070;      0.64111;3.44453
 72.25731; 3.15705;      0.64178;3.44388
 73.25731; 3.22342;      0.64259;3.44320
 74.25731; 3.28982;      0.64321;3.44250
 75.25731; 3.35622;      0.64384;3.44178
 76.25731; 3.42262;      0.64450;3.44103
 77.25731; 3.48901;      0.64508;3.44026
 78.25731; 3.55540;      0.64565;3.43946
 79.25731; 3.62180;      0.64629;3.43864
 80.25731; 3.68820;      0.64670;3.43780
 81.25731; 3.75461;      0.64736;3.43694
 82.25731; 3.82105;      0.64783;3.43605
 83.25731; 3.88752;      0.64850;3.43514
 84.25731; 3.95403;      0.64898;3.43421
 85.25731; 4.02058;      0.64940;3.43326
 86.25731; 4.08716;      0.64977;3.43228
 87.25731; 4.15373;      0.65029;3.43128
 88.25731; 4.22028;      0.65094;3.43026
 89.25731; 4.28683;      0.65145;3.42921
 90.25731; 4.35338;      0.65236;3.42815
 91.25731; 4.41993;      0.65289;3.42706
 92.25731; 4.48651;      0.65371;3.42595
 93.25731; 4.55310;      0.65430;3.42482
 94.25731; 4.61968;      0.65508;3.42366
 95.25731; 4.68625;      0.65576;3.42249
 96.25731; 4.75281;      0.65646;3.42129
 97.25731; 4.81936;      0.65716;3.42008
 98.25731; 4.88589;      0.65799;3.41884
 99.25731; 4.95242;      0.65878;3.41758
100.25731; 5.01897;      0.65958;3.41630
101.25731; 5.08551;      0.66023;3.41499
102.25731; 5.15205;      0.66090;3.41367
103.25731; 5.21857;      0.66173;3.41233
104.25731; 5.28509;      0.66260;3.41096
105.25731; 5.35158;      0.66343;3.40958
106.25731; 5.41805;      0.66429;3.40818
107.25731; 5.48451;      0.66503;3.40675
108.25731; 5.55097;      0.66580;3.40531
109.25731; 5.61743;      0.66642;3.40384
110.25731; 5.68390;      0.66707;3.40236
111.25731; 5.75040;      0.66760;3.40085
112.25731; 5.81691;      0.66825;3.39933
113.25731; 5.88340;      0.66865;3.39778
114.25731; 5.94988;      0.66925;3.39622
115.25731; 6.01634;      0.66976;3.39464
116.25731; 6.08281;      0.67028;3.39303
117.25731; 6.14929;      0.67086;3.39141
118.25731; 6.21578;      0.67131;3.38977
119.25731; 6.28226;      0.67168;3.38811
120.25731; 6.34873;      0.67208;3.38644
121.25731; 6.41521;      0.67243;3.38474
122.25731; 6.48169;      0.67281;3.38303
123.25731; 6.54816;      0.67321;3.38129
124.25731; 6.61465;      0.67361;3.37954
125.25731; 6.68113;      0.67380;3.37777
126.25731; 6.74763;      0.67420;3.37598
127.25731; 6.81414;      0.67444;3.37418
128.25731; 6.88065;      0.67457;3.37235
129.25731; 6.94715;      0.67438;3.37051
130.25731; 7.01366;      0.67361;3.36865
131.25731; 7.08020;      0.67204;3.36678
132.25731; 7.14677;      0.66961;3.36488
133.25731; 7.21336;      0.66563;3.36297
134.25731; 7.27995;      0.65724;3.36105
135.25731; 7.34655;      0.63794;3.35910
136.25731; 7.41317;      0.60789;3.35714
137.25731; 7.47980;      0.57802;3.35516
138.25731; 7.54644;      0.55580;3.35317
139.25731; 7.61308;      0.53862;3.35115
140.25731; 7.67973;      0.52422;3.34913
141.25731; 7.74639;      0.51018;3.34708
142.25731; 7.81308;      0.49493;3.34502
143.25731; 7.87977;      0.47699;3.34295
144.25731; 7.94649;      0.45552;3.34085
145.25731; 8.01322;      0.42971;3.33875
146.25731; 8.07995;      0.39849;3.33662
147.25731; 8.14666;      0.36083;3.33448
148.25731; 8.21335;      0.31558;3.33233
149.25731; 8.28003;      0.26047;3.33016
150.25731; 8.34672;      0.19338;3.32798
151.25731; 8.41336;      0.10916;3.32578
152.25731; 8.47996; 3.266006e-03;3.32356
153.25731; 8.54654;     -0.13520;3.32133
154.25731; 8.61310;     -0.31552;3.31909
155.25731; 8.67964;     -0.52040;3.31683
156.25731; 8.74615;     -0.72032;3.31456
157.25731; 8.81262;     -0.91595;3.31227
158.25731; 8.87909;     -1.10654;3.30997
159.25731; 8.94560;     -1.28349;3.30766
160.25731; 9.01211;     -1.43835;3.30533
161.25731; 9.07862;     -1.56418;3.30299
162.25731; 9.14516;     -1.65543;3.30063
163.25731; 9.21171;     -1.70917;3.29826
164.25731; 9.27824;     -1.72548;3.29588
165.25731; 9.34476;     -1.70681;3.29349
166.25731; 9.41128;     -1.65789;3.29108
167.25731; 9.47781;     -1.58427;3.28865
168.25731; 9.54436;     -1.49169;3.28622
169.25731; 9.61094;     -1.38669;3.28377
170.25731; 9.67754;     -1.27596;3.28131
171.25731; 9.74416;     -1.16468;3.27884
172.25731; 9.81081;     -1.05882;3.27636
173.25731; 9.87748;     -0.96167;3.27386
174.25731; 9.94417;     -0.87593;3.27135
175.25731;10.01085;     -0.80268;3.26883
176.25731;10.07752;     -0.74206;3.26630
177.25731;10.14420;     -0.69294;3.26375
178.25731;10.21091;     -0.65421;3.26120
179.25731;10.27763;     -0.62411;3.25863
180.25731;10.34436;     -0.60131;3.25605
181.25731;10.41110;     -0.58376;3.25346
182.25731;10.47783;     -0.57012;3.25086
183.25731;10.54453;     -0.55858;3.24825
184.25731;10.61123;     -0.54799;3.24563
185.25731;10.67796;     -0.53728;3.24300
186.25731;10.74471;     -0.52511;3.24036
