#EXPORTTYPE:DATA SINGLE
#FILE:2023-12-26_PB2_Astr_0.05%_liquid_v1_25-225_5Kmin_100mlmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:PB2_Astr_0.05%_liquid
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:26.12.2023 12:12
#CORR. FILE:
#TEMPCAL:17-12-2021 14:12
#SENSITIVITY:17-12-2021 13:58
#LABORATORY:
#OPERATOR:SitnikovaV
#REMARK:
#SAMPLE:PB2_Astr_0.05%_liquid
#SAMPLE MASS /mg:44,360
#MATERIAL:
#REFERENCE:ÏÂÑ ïîðîøîê
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:NITROGEN,250,0 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:25°C/5.0(K/min)/225°C
#SEGMENT:S1/1
#SEG. 1:25°C/5.0(K/min)/225°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
 24.93200; 0.00000; 1.341018e-03;3.45047
 25.93200; 0.31870; 8.007528e-02;3.45102
 26.93200; 0.51667;      0.14860;3.45153
 27.93200; 0.69764;      0.18450;3.45203
 28.93200; 0.87704;      0.20283;3.45249
 29.93200; 1.05863;      0.21058;3.45293
 30.93200; 1.24356;      0.21284;3.45334
 31.93200; 1.43199;      0.21198;3.45372
 32.93200; 1.62350;      0.21000;3.45407
 33.93200; 1.81738;      0.20779;3.45440
 34.93200; 2.01297;      0.20605;3.45470
 35.93200; 2.20978;      0.20483;3.45498
 36.93200; 2.40740;      0.20377;3.45523
 37.93200; 2.60546;      0.20332;3.45545
 38.93200; 2.80383;      0.20293;3.45564
 39.93200; 3.00251;      0.20279;3.45581
 40.93200; 3.20128;      0.20282;3.45595
 41.93200; 3.39992;      0.20303;3.45606
 42.93200; 3.59859;      0.20326;3.45615
 43.93200; 3.79746;      0.20328;3.45621
 44.93200; 3.99648;      0.20328;3.45624
 45.93200; 4.19549;      0.20335;3.45625
 46.93200; 4.39440;      0.20364;3.45624
 47.93200; 4.59320;      0.20390;3.45619
 48.93200; 4.79206;      0.20414;3.45612
 49.93200; 4.99123;      0.20409;3.45603
 50.93200; 5.19075;      0.20396;3.45591
 51.93200; 5.39045;      0.20397;3.45576
 52.93200; 5.59026;      0.20402;3.45559
 53.93200; 5.79014;      0.20413;3.45539
 54.93200; 5.98993;      0.20426;3.45516
 55.93200; 6.18947;      0.20458;3.45491
 56.93200; 6.38890;      0.20502;3.45464
 57.93200; 6.58849;      0.20514;3.45434
 58.93200; 6.78827;      0.20515;3.45401
 59.93200; 6.98813;      0.20527;3.45366
 60.93200; 7.18807;      0.20531;3.45329
 61.93200; 7.38810;      0.20548;3.45288
 62.93200; 7.58817;      0.20563;3.45246
 63.93200; 7.78828;      0.20567;3.45201
 64.93200; 7.98824;      0.20589;3.45153
 65.93200; 8.18792;      0.20622;3.45103
 66.93200; 8.38734;      0.20669;3.45051
 67.93200; 8.58680;      0.20709;3.44996
 68.93200; 8.78656;      0.20684;3.44939
 69.93200; 8.98655;      0.20681;3.44879
 70.93200; 9.18658;      0.20697;3.44817
 71.93200; 9.38671;      0.20694;3.44752
 72.93200; 9.58694;      0.20695;3.44685
 73.93200; 9.78726;      0.20706;3.44616
 74.93200; 9.98766;      0.20704;3.44544
 75.93200;10.18803;      0.20725;3.44470
 76.93200;10.38822;      0.20742;3.44394
 77.93200;10.58810;      0.20784;3.44315
 78.93200;10.78774;      0.20818;3.44234
 79.93200;10.98720;      0.20867;3.44150
 80.93200;11.18657;      0.20894;3.44064
 81.93200;11.38594;      0.20921;3.43976
 82.93200;11.58540;      0.20932;3.43886
 83.93200;11.78491;      0.20945;3.43793
 84.93200;11.98456;      0.20947;3.43698
 85.93200;12.18451;      0.20933;3.43601
 86.93200;12.38465;      0.20916;3.43501
 87.93200;12.58465;      0.20910;3.43400
 88.93200;12.78437;      0.20937;3.43296
 89.93200;12.98399;      0.20990;3.43189
 90.93200;13.18390;      0.20981;3.43081
 91.93200;13.38414;      0.20969;3.42970
 92.93200;13.58452;      0.20954;3.42857
 93.93200;13.78487;      0.20949;3.42742
 94.93200;13.98521;      0.20945;3.42625
 95.93200;14.18562;      0.20926;3.42506
 96.93200;14.38606;      0.20940;3.42384
 97.93200;14.58642;      0.20967;3.42260
 98.93200;14.78671;      0.20964;3.42135
 99.93200;14.98699;      0.20939;3.42007
100.93200;15.18718;      0.20884;3.41877
101.93200;15.38725;      0.20844;3.41744
102.93200;15.58720;      0.20788;3.41610
103.93200;15.78686;      0.20715;3.41474
104.93200;15.98578;      0.20638;3.41335
105.93200;16.18387;      0.20600;3.41195
106.93200;16.38184;      0.20501;3.41052
107.93200;16.58055;      0.20300;3.40908
108.93200;16.78023;      0.20036;3.40761
109.93200;16.98068;      0.19750;3.40613
110.93200;17.18152;      0.19500;3.40462
111.93200;17.38234;      0.19244;3.40309
112.93200;17.58295;      0.19038;3.40155
113.93200;17.78334;      0.18864;3.39998
114.93200;17.98349;      0.18686;3.39840
115.93200;18.18335;      0.18550;3.39679
116.93200;18.38291;      0.18455;3.39517
117.93200;18.58231;      0.18347;3.39353
118.93200;18.78179;      0.18147;3.39187
